      ID  predict G3
0   1001   12.098158
1   1002   11.809016
2   1003   11.487454
3   1004   11.852564
4   1005   11.992107
5   1006   11.261874
6   1007   11.572651
7   1008   13.245424
8   1009   11.781892
9   1010    9.843448
10  1011   12.467671
11  1012    9.846452
12  1013   12.494640
13  1014   12.265545
14  1015   10.973057
15  1016   12.671843
16  1017    3.664349
17  1018   13.424732
18  1019    7.013588
19  1020   12.678357
20  1021   11.412592
21  1022   10.412074
22  1023   10.878155
23  1024   11.636929
24  1025   11.701070
25  1026   11.263244
26  1027   12.985756
27  1028   12.513421
28  1029   11.417324
29  1030    9.349194
30  1031   10.914687
31  1032    6.922893
32  1033   12.067379
33  1034   11.487719
34  1035   12.387743
35  1036   13.242530
36  1037   12.619328
37  1038   12.305800
38  1039   11.754209
39  1040   12.726936
40  1041    5.915778
41  1042   12.092807
42  1043   11.810930
43  1044   11.616684
